porfolio_type,size_quintile,factor_quintile,mean_excess_return,std_excess_return,t_stat,p_value,sharpe_ratio,n_months,avg_n_stocks
Size-B/M,1,1,-0.018377032778403003,0.14754059391522553,-0.9237303380167258,0.35973609336769263,-0.43147385570159263,55,2.1454545454545455
Size-B/M,1,2,-0.01940380615304887,0.1171883910449433,-1.3142337336822951,0.19360912259934226,-0.573578625282243,63,4.571428571428571
Size-B/M,1,3,-0.023938879056096738,0.09603529052189422,-2.173100202229906,0.032930671515050844,-0.8635024598994301,76,13.276315789473685
Size-B/M,1,4,-0.019850138022875274,0.09825427912638483,-1.7727905164465658,0.08027040471344346,-0.6998463150627733,77,25.90909090909091
Size-B/M,1,5,-0.028389597816052298,0.07984448199831166,-3.0379160086922252,0.003317439143782069,-1.2317000397069087,73,31.616438356164384
Size-B/M,2,1,0.01706618441267912,0.1481380481048682,0.9569612702805838,0.34197677851172126,0.3990804370957397,69,4.3478260869565215
Size-B/M,2,2,0.004290172948652729,0.12811140321649755,0.2801792910651172,0.7801782394666313,0.1160052475229966,70,12.6
Size-B/M,2,3,-0.00910650841971139,0.11574775949155919,-0.6722034395011653,0.5036056491929055,-0.27253979397578093,73,19.273972602739725
Size-B/M,2,4,-0.01942729322526412,0.09544768270698123,-1.7509057385393403,0.08416300233772439,-0.705078593117797,74,21.824324324324323
Size-B/M,2,5,-0.03038832610297129,0.08291481337247172,-3.131382216002415,0.0025145823080897855,-1.2695952056449469,73,20.28767123287671
Size-B/M,3,1,0.023236576161267803,0.13482102283074449,1.4725700011894196,0.14522514363816416,0.5970423552680797,73,10.73972602739726
Size-B/M,3,2,0.001355019551271173,0.10046230049894331,0.11284737539258873,0.910479233843386,0.04672325233236201,70,21.757142857142856
Size-B/M,3,3,-0.007444403028072938,0.09898024814854399,-0.6469894495549665,0.5196680440633454,-0.2605385320370426,74,18.5
Size-B/M,3,4,-0.020126445605110805,0.08997946960758575,-1.9111073601560669,0.05997190490112308,-0.7748440064350938,73,15.506849315068493
Size-B/M,3,5,-0.02715884991175487,0.07384989895371626,-3.098779284276166,0.0027974155289621854,-1.2739491479000808,71,12.338028169014084
Size-B/M,4,1,0.04496681875422232,0.15961007535170146,2.423526210958896,0.017849716046939676,0.9759385748729783,74,22.864864864864863
Size-B/M,4,2,-0.0044895724529240245,0.09478442641353309,-0.40745894669984206,0.6848633691317185,-0.16408112359723642,74,23.824324324324323
Size-B/M,4,3,-0.013344790066619658,0.09476041927920882,-1.203223214681269,0.23283141953087208,-0.4878377404308735,73,16.561643835616437
Size-B/M,4,4,-0.017302408768705493,0.09409730560684401,-1.493830587636397,0.14005867984848544,-0.6369715027960047,66,8.924242424242424
Size-B/M,4,5,-0.018278784140867834,0.10990552429620372,-1.4209840784574639,0.15963801249119364,-0.5761272335545536,73,5.945205479452055
Size-B/M,5,1,0.024103680673207475,0.11616171278182916,1.7970120522337028,0.07641397771683187,0.718804820893481,75,37.61333333333334
Size-B/M,5,2,-0.006918133638444282,0.09914033895286604,-0.6002807376628033,0.5501781842928388,-0.241729231146439,74,16.635135135135137
Size-B/M,5,3,0.0014142579450571317,0.10067301268258279,0.11498811729430643,0.9088036619834633,0.048663818645623975,67,10.313432835820896
Size-B/M,5,4,-0.017948156200192772,0.10003415997075009,-1.4576171810250247,0.14976077819575245,-0.6215300543335615,66,5.393939393939394
Size-B/M,5,5,-0.016205165888019,0.07022193842660913,-1.9581543226660494,0.05414175435136825,-0.7994131546928384,72,7.680555555555555
Size-OP,1,1,-0.037933401810394826,0.1507210713808183,-0.5627724397708292,0.6036359857795156,-0.8718433147747753,5,1.0
