factor,lambda_mean,lambda_std,t_stat,p_value
const,-0.026014418810284087,0.07581462440135454,-2.6132149661682162,0.011450523050916301
MKT_RF,,,,
SMB,,,,
HML,,,,
RMW,,,,
CMA,,,,
beta_MKT_RF,0.019842625786045832,0.06258436510159235,2.414611629690315,0.01898416473799276
beta_SMB,-0.011142410358472061,0.035861867657043155,-2.3662479030392913,0.021391292732439584
beta_HML,-0.023978598607350333,0.036670300192837825,-4.979931045828515,6.232959194512086e-06
beta_RMW,-0.003770095077508231,0.055537976632899215,-0.5169829806300281,0.6071683544563018
beta_CMA,0.0014285008686453326,0.015098311842204956,0.7205533049543615,0.47412916767749114
