portfolio_type,factor,mean_delta_r2_single,median_delta_r2_single,positive_delta_share_single,mom_sig_rate_single_pct,alpha_sig_rate_single_pct,n_portfolios,mean_delta_r2_eq,median_delta_r2_eq,positive_delta_share_eq,mom_sig_rate_eq_pct,alpha_sig_rate_eq_pct
size_bm,MOM_4M,0.03112927293759915,0.006781377629789587,1.0,36.0,44.0,25,0.015869263695539603,0.005067518122890968,1.0,24.0,44.0
size_inv,MOM_4M,0.018959649445396562,0.007018047847408226,1.0,44.0,28.000000000000004,25,0.014642010782661611,0.004629281071107161,1.0,40.0,36.0
size_op,MOM_4M,0.06421028363916663,0.06455286108669633,1.0,20.0,60.0,25,0.07338787829059548,0.060093084717526835,1.0,40.0,60.0
size_bm,MOM_8M,0.013206984979847753,0.0041619976417309745,1.0,16.0,44.0,25,0.015869263695539603,0.005067518122890968,1.0,24.0,44.0
size_inv,MOM_8M,0.013977352355858836,0.009881953010408395,1.0,20.0,28.000000000000004,25,0.014642010782661611,0.004629281071107161,1.0,40.0,36.0
size_op,MOM_8M,0.07164377673005992,0.07927852492200038,1.0,20.0,40.0,25,0.07338787829059548,0.060093084717526835,1.0,40.0,60.0
size_bm,MOM_12M,0.01168681084185595,0.0031998723192476763,1.0,32.0,44.0,25,0.015869263695539603,0.005067518122890968,1.0,24.0,44.0
size_inv,MOM_12M,0.012292702965896568,0.007037005063465274,1.0,40.0,36.0,25,0.014642010782661611,0.004629281071107161,1.0,40.0,36.0
size_op,MOM_12M,0.054507967508891045,0.044467980962534126,1.0,20.0,60.0,25,0.07338787829059548,0.060093084717526835,1.0,40.0,60.0
size_bm,MOM_24M,0.02811342036223658,0.008728266954333597,1.0,36.0,52.0,25,0.015869263695539603,0.005067518122890968,1.0,24.0,44.0
size_inv,MOM_24M,0.03129673136977639,0.019726480183986927,1.0,52.0,52.0,25,0.014642010782661611,0.004629281071107161,1.0,40.0,36.0
size_op,MOM_24M,0.05715890355650048,0.05827144442666232,1.0,20.0,60.0,25,0.07338787829059548,0.060093084717526835,1.0,40.0,60.0
size_bm,MOM_EQ,0.015869263695539603,0.005067518122890968,1.0,24.0,44.0,25,0.015869263695539603,0.005067518122890968,1.0,24.0,44.0
size_inv,MOM_EQ,0.014642010782661611,0.004629281071107161,1.0,40.0,36.0,25,0.014642010782661611,0.004629281071107161,1.0,40.0,36.0
size_op,MOM_EQ,0.07338787829059548,0.060093084717526835,1.0,40.0,60.0,25,0.07338787829059548,0.060093084717526835,1.0,40.0,60.0
