portfolio_type,size_quintile,factor_quintile,period1_mom_sig,period2_mom_sig,delta_mom_sig,period1_mean_beta,period2_mean_beta,period1_mean_r2,period2_mean_r2,n_portfolios
size_bm,1,all,40.0,0.0,-40.0,-0.21108021469998972,-0.10927363999283798,0.7083204446750317,0.8762817801926805,5
size_bm,2,all,40.0,0.0,-40.0,-0.05481231162137955,-0.23938912753246253,0.8642669440155185,0.9304988291229371,5
size_bm,3,all,40.0,0.0,-40.0,-0.12340103882644123,-0.007093439178443839,0.8992969910390839,0.9355072525840866,5
size_bm,4,all,60.0,20.0,-40.0,0.021933383817295666,0.12914659158421354,0.8507658941492353,0.9213463164923545,5
size_bm,5,all,40.0,0.0,-40.0,0.13039430990988715,-0.15843972477522894,0.7762927326309559,0.8818518295148676,5
size_inv,1,all,0.0,0.0,0.0,0.04183237954610302,-0.013818297438101678,0.8021388091499497,0.9378567893938665,5
size_inv,2,all,0.0,20.0,20.0,0.03241616833645811,-0.12337211309518092,0.863148398151087,0.9586200794822373,5
size_inv,3,all,40.0,0.0,-40.0,-0.15201443789101327,-0.04285014880380674,0.7670046050438011,0.9365444820465901,5
size_inv,4,all,20.0,40.0,20.0,0.057623141970088665,0.07554596146484575,0.8099092200449224,0.9120513681208966,5
size_inv,5,all,20.0,0.0,-20.0,0.07679162876608227,-0.12810187703297307,0.7019783198752174,0.854282854861338,5
size_op,1,all,,,,,,,,5
size_op,2,all,100.0,,,0.4111554150213012,,0.9553636115463846,,5
size_op,3,all,100.0,66.66666666666666,-33.33333333333334,0.23280016973175077,-0.2888639714964936,0.749396317858308,0.8258342831556614,5
size_op,4,all,100.0,100.0,0.0,-0.4644277534055615,0.2613292722156466,0.708083160610511,0.810819309830467,5
size_op,5,all,33.33333333333333,0.0,-33.33333333333333,-0.20064902398735354,0.39445807663682186,0.6845425964534658,0.6969435460552533,5
