portfolio_type,size_quintile,factor_quintile,period1_mom_sig,period2_mom_sig,delta_mom_sig,period1_mean_beta,period2_mean_beta,period1_mean_r2,period2_mean_r2,n_portfolios
size_bm,1,all,80.0,20.0,-60.0,-0.3025094620081778,-0.1605441186839116,0.7111947693021632,0.876270000632587,5
size_bm,2,all,20.0,80.0,60.0,-0.07224620413129178,-0.4399844462826711,0.8598873570034458,0.937548116308174,5
size_bm,3,all,20.0,20.0,0.0,-0.14032599160742293,-0.17033878578672873,0.8960993943896145,0.9353771410460127,5
size_bm,4,all,60.0,20.0,-40.0,-0.159568828946975,0.048033825796287774,0.8485309345013752,0.9203307526096267,5
size_bm,5,all,0.0,20.0,20.0,0.033362802523916255,-0.05007936978149998,0.7620794913217616,0.883914834352205,5
size_inv,1,all,20.0,0.0,-20.0,0.20484959826194132,-0.061738186045246946,0.8143225892263406,0.938550204383627,5
size_inv,2,all,20.0,60.0,40.0,0.07031321728626087,-0.17388238083025415,0.8615406565605432,0.9591478673679387,5
size_inv,3,all,20.0,20.0,0.0,-0.2731661461081038,-0.24307418432151257,0.7518094570774659,0.9381459973568083,5
size_inv,4,all,40.0,40.0,0.0,-0.04083952140434484,0.08214784410825504,0.8107664890872194,0.912125739323837,5
size_inv,5,all,20.0,20.0,0.0,-0.2432837970727187,0.10435875127203795,0.6935814404644203,0.8624929154694303,5
size_op,1,all,,,,,,,,0
size_op,2,all,100.0,,,0.6346950194506533,,0.9487650586891281,,1
size_op,3,all,100.0,33.33333333333333,-66.66666666666667,0.28986413542526507,0.10407980558608425,0.753036656531128,0.7653288490103707,3
size_op,4,all,25.0,100.0,75.0,-0.23687477231845483,-0.21582201363243614,0.6152022594833437,0.8180043171369312,4
size_op,5,all,33.33333333333333,0.0,-33.33333333333333,-1.3432066871883392,0.9250472941592973,0.7181498106324122,0.6824946157480372,3
