period,portfolio_type,size_quintile,factor_quintile,n_obs,alpha,t_alpha,p_alpha,r_squared,adj_r_squared,beta_MKT_RF,t_MKT_RF,p_MKT_RF,beta_SMB,t_SMB,p_SMB,beta_HML,t_HML,p_HML,beta_MOM_EQ,t_MOM_EQ,p_MOM_EQ
period2,size_bm,1,1,27,-0.005924456595410587,-0.48046781175787534,0.6308947857951089,0.8582649772834313,0.8324949731531461,1.4550701335265266,13.126326236391966,2.3267333101369382e-39,0.6899571420291084,2.615243714178156,0.008916380806966922,0.6158446033497322,1.8530694913039218,0.06387239900998881,0.2839637903438679,0.8866907125269745,0.375245439977017
period2,size_bm,1,2,27,0.005525878390756325,0.32115000775191527,0.7480967150470934,0.6875169181627898,0.6307018123742061,0.853906072908431,3.7004998962533175,0.00021517516735764804,0.2805534673351332,0.8508472092473887,0.3948542331269653,-0.5498519936508036,-0.9346980980306695,0.3499439073657822,-1.3989328605620104,-1.8598055699545182,0.06291303905178211
period2,size_bm,1,3,27,0.008608734338062217,1.805195332812059,0.071044121032954,0.9407155938753409,0.9299366109435847,1.0495916028039847,12.94274788995095,2.5822523861571625e-38,0.6099403796245787,5.057069243541713,4.2574868359272147e-07,0.36634275403218197,2.391058917108968,0.016799856713755244,0.3517750801563599,1.5629273258439578,0.11806968949340169
period2,size_bm,1,4,27,0.002656529325488058,0.48205222782169677,0.6297688450668686,0.9451614978729223,0.9351908611225445,1.0736146945662646,12.973143778886076,1.737548414082831e-38,0.6246621120780791,3.6518377183914845,0.0002603704065090134,0.3784978598807075,2.362039095270927,0.018174725432177394,0.014563615179269358,0.08309396405680804,0.9337768252348472
period2,size_bm,1,5,27,0.0023889203193152297,0.46051208410771544,0.6451486997759052,0.9496910159684513,0.9405439279627151,1.0784517446162358,15.39280141604609,1.829374350746504e-53,0.5753913019576988,5.611010181219236,2.0114892893198493e-08,0.596318450075499,3.759548834249667,0.00017022004991809955,-0.05409021853704489,-0.22799384473536835,0.8196510257089209
period2,size_bm,2,1,27,-0.030461969678708276,-1.5602561819644283,0.11869935374984401,0.8223610010611705,0.7900630012541106,0.9816697280481536,10.306903405008075,6.558039550856861e-25,0.06074782005459033,0.32436060489012075,0.7456650415240459,-1.9773298080692272,-3.934245725847735,8.34583680938193e-05,-2.188922992667954,-4.048840347319798,5.1472040812187815e-05
period2,size_bm,2,2,27,-0.009950909080958836,-1.5847368535352446,0.11302613485466599,0.9526075518628211,0.9439907431106067,0.9903669471792593,18.697830580317305,5.156015142938923e-78,0.3837847407507574,3.259459582535283,0.0011162468399959053,-0.3487468552145967,-3.198466225711392,0.0013816071558601858,0.37599658329475805,2.3520499267651074,0.018670268768664056
period2,size_bm,2,3,27,-0.007328385663349761,-2.045943861746641,0.04076189425060706,0.9884766897933129,0.9863815424830062,1.1292255423316497,42.85566692457099,0.0,0.08929040688865544,1.935890584013587,0.05288110323076742,-0.1385884546322517,-1.901355076801433,0.05725551947643908,-0.3084490862620141,-2.810640720945588,0.004944296243358805
period2,size_bm,2,4,27,-0.0017414170839020104,-0.33587650119402307,0.7369639980106641,0.9551439342447187,0.9469882859255766,1.1100389953274459,16.99507244535614,8.931995123180865e-65,0.09169805265733236,0.750218333297131,0.45312321886357654,0.36723767835704685,2.2385999691165757,0.025181956259840432,0.2123160557792171,0.7338298205018455,0.46305246346563445
period2,size_bm,2,5,27,-0.003881567384530281,-1.058616976126503,0.2897742524161473,0.9691514045788476,0.9635425690477291,0.9027973741698576,15.526038093814993,2.3123157647389812e-54,0.18191532980989641,3.8666710980233074,0.00011033106613392037,0.3713745636923309,3.5063125831285986,0.0004543612879423175,-0.2908627915573631,-1.8812065023719635,0.05994383355596145
period2,size_bm,3,1,27,0.00013124369049780527,0.023518151903166102,0.9812369593642668,0.8892179844342877,0.8690757997859764,1.0300540592533525,14.167801569092616,1.4496816220181187e-45,0.6807474226168173,2.5984279309148173,0.009365170160176392,-0.6543785415739984,-3.114875763118311,0.0018402239994564154,-0.015248621941034601,-0.04722293548358351,0.9623355480385296
period2,size_bm,3,2,27,-0.0026948904394217374,-0.4169120414089592,0.6767427455987005,0.9630744254463128,0.9563606846183696,0.9769599990476309,14.321785178402449,1.5996077647673297e-46,0.03263941776334388,0.3970242547201182,0.6913495747446115,-0.3138878640446008,-2.7997092050970838,0.005114866081411706,-0.3132860849996849,-1.6725158807682674,0.09442263898198028
period2,size_bm,3,3,27,-0.010007208013657936,-1.1697163038833085,0.24211515479141066,0.9223105877476381,0.9081852400653905,1.0330509564378865,14.497753151396294,1.2518077469871509e-47,-0.14549620993951642,-1.2926290245474161,0.1961393961316843,-0.2367319015986848,-0.8965594241663986,0.36995405778259427,-0.4754119623123314,-1.5199206959389935,0.12853090827123265
period2,size_bm,3,4,27,0.0014860318638111956,0.26051404980718323,0.7944672791877219,0.9743338186438679,0.9696672402154802,1.1279581622293746,17.834320594222778,3.826728662740075e-71,0.10018510300722244,1.0178800140004447,0.3087349806785583,0.34351751649086454,1.966181148961523,0.049277689217382764,-0.008252693914534065,-0.04584476280530422,0.963433980737171
period2,size_bm,3,5,27,-0.004171206963133368,-0.4831762604891934,0.6289705897866766,0.9279488889579568,0.9148486869503125,0.9568793174044242,12.752757477230958,3.0090995543049032e-37,0.14861648990490992,1.2413328382969828,0.21448281847069195,0.3163803422361756,1.1362623824598026,0.2558467693220208,-0.0394945657660586,-0.12303779921599008,0.9020771659060156
period2,size_bm,4,1,27,0.020990501459684237,1.40012730349683,0.16147520020466388,0.9318224391700257,0.9194265190191213,1.23857885038113,11.705587549012472,1.193297801011131e-31,-0.3113107686845071,-1.6683658829117054,0.09524311662240734,-0.37668916056242596,-1.0081941076438015,0.31336128609184966,0.8160865511806461,1.9231051381542572,0.0544668471983952
period2,size_bm,4,2,27,9.192726462158105e-05,0.011484059931427773,0.9908372472886735,0.9354946610101921,0.9237664175574998,0.8779064758072999,13.3059646207785,2.137169251734664e-40,-0.20430903475509998,-1.9669908779974912,0.04918426242880767,-0.18556043519958249,-0.7613930877569471,0.446422314825042,0.03504644545241439,0.1318086885434157,0.8951356140535462
period2,size_bm,4,3,27,-0.012000106811490066,-2.700413528527854,0.006925333708381213,0.9602475293785164,0.9530198074473376,0.9536324747286502,17.997419787504985,2.0410892375012235e-72,-0.37113494620095183,-2.4311874761827923,0.015049425251637596,-0.03536861687392791,-0.31231996919339494,0.754797365334109,-0.1731733141870833,-0.9509203160425608,0.3416448277966999
period2,size_bm,4,4,27,-0.01266449951431962,-1.728217002287533,0.0839493266026637,0.9387085032611807,0.9275645947632136,0.9421613199062187,21.008181256290015,5.5209108312202134e-98,-0.2841017608024877,-2.0477536938435286,0.040584139733884965,0.19032228125856787,1.1996035345036071,0.23029335321429012,-0.0024866038155211337,-0.013729708769468213,0.9890456215086117
period2,size_bm,4,5,27,-0.0014652700434807202,-0.14771833591247369,0.8825650604259291,0.8353806302282188,0.8054498357242587,0.8083953601200469,15.020430600651205,5.395606829678389e-51,-0.30845973914426456,-2.542822348237366,0.010996112106108359,0.5505204292740415,2.646026383033129,0.008144346413524586,-0.43530394964901725,-1.6023593344098819,0.10907617185536725
period2,size_bm,5,1,27,0.017364907187575516,2.3257592592139993,0.020031397181857067,0.9398992922258301,0.9289718908123447,0.9469286612850689,8.611723484109376,7.19702714569336e-18,-0.5222774394178213,-4.075221971604748,4.5970476270128806e-05,-0.4210379443128285,-2.459964005324618,0.01389509508473792,0.5357540031177788,1.5853998277066959,0.11287552031055051
period2,size_bm,5,2,27,-0.015132817462915739,-1.757814934986848,0.07877900330276204,0.8987399436824799,0.8803290243520216,0.7688554743142869,8.804810812695129,1.3107348209467477e-18,-0.5858545360880613,-1.9495666376896958,0.051227793071329526,-0.3456859638557398,-1.043042908576384,0.29692842032680133,-0.07790051302398342,-0.18272962536287418,0.8550101694331116
period2,size_bm,5,3,27,-0.01945825054575606,-2.5175914694168178,0.01181602843486119,0.8905970584586276,0.8707056145420144,0.7803097329651332,10.257714790557152,1.0926178155546978e-24,-0.5643487689128283,-3.55288981667019,0.00038102402186943366,-0.4086694129752501,-2.124074637187051,0.03366390294894297,-0.3530264971050911,-1.2014849479394856,0.2295631418182662
period2,size_bm,5,4,27,-0.0026448924682325138,-0.3537302369075034,0.7235410600277414,0.8815416211751672,0.8600037341161066,0.7237918844452076,5.583377099177961,2.3589249374038672e-08,-1.0224914775635745,-5.963768317220423,2.4648616700127716e-09,0.4762659099133214,2.074966979929629,0.03798959517254507,-0.5386760980201908,-1.9645016621893052,0.049471943706028136
period2,size_bm,5,5,27,0.008067760841415045,0.7849075607005048,0.43250776879718555,0.8087962562189206,0.7740319391678152,0.9033227329847052,9.01295484918503,2.0057786556891152e-19,-0.3521264871827238,-2.0080908035295804,0.04463364335112544,0.5014335906770075,2.707341462728712,0.006782445657146821,0.18345225612398666,0.6033682162751293,0.5462637613854835
period2,size_inv,1,1,24,0.010216129940675568,2.418223258686754,0.01559650418658148,0.9369346957264104,0.9236577895635495,1.1087500491711766,12.009570830308663,3.1648318655618235e-33,0.5531629016032951,2.944079242916944,0.003239170517035796,0.6210705427078563,4.316881524719595,1.5824904060819933e-05,-0.02420147345088386,-0.11203265906597921,0.910797511379658
period2,size_inv,1,2,24,0.00807948690926973,1.8922834705701777,0.05845322207195093,0.9636550157090531,0.9560034400688537,1.1240323053915937,18.770189141883463,1.324132194793761e-78,0.6082790570007937,5.658788629961453,1.524451666905016e-08,0.5345543169402482,5.0310290145494285,4.878543035328921e-07,0.1137884062208725,0.6518704280275007,0.5144847633581828
period2,size_inv,1,3,24,0.001615493486731177,0.2530895664076174,0.8001990012738355,0.9374975699717842,0.9243391636500546,1.0904807961647163,14.138188930241814,2.2089635730322882e-45,0.6326571837461089,4.024770884128226,5.703081311644386e-05,0.42773122360448845,2.255742174905807,0.024086782631571258,-0.08401182905257215,-0.29523155741483514,0.7678169964697166
period2,size_inv,1,4,24,-0.0012706898508362992,-0.21759649809756446,0.8277435132317162,0.9398517805528941,0.927188997511398,1.06235392199105,11.756922873948136,6.506251465247683e-32,0.5445657389440834,7.902992332397981,2.7228634270532476e-15,0.2034934053825298,0.9001721044642108,0.3680286688681562,-0.022762755440585813,-0.10550590363938783,0.9159743857102087
period2,size_inv,1,5,24,-0.019780359850963453,-3.1255474530122482,0.0017747443388170165,0.9148119599579935,0.8968776357386237,0.8533553709805308,6.954240947438844,3.544653356853099e-12,0.5311537298613559,3.0122131793081577,0.0025935039489104884,-0.08355129392585181,-0.46127572309782394,0.6446008001068693,-0.2915032785030654,-0.797299507544477,0.425277106282561
period2,size_inv,2,1,24,0.011309533019233129,1.741376183083615,0.08161766018746383,0.9753330950237394,0.9701400623971582,1.119581467567934,38.19163341487914,0.0,0.18268402949502482,2.458196058315495,0.013963691911307625,0.3308965979644995,2.3961025687464215,0.01657045265360945,-0.039137467842536244,-0.32070459824767306,0.7484342623192985
period2,size_inv,2,2,24,-0.020352884866961466,-2.552984255835324,0.010680432398016785,0.9472639535656748,0.9361616280005538,0.9554476647878698,12.239762742877938,1.9058893700374198e-34,0.13513767804684718,1.4077330090532716,0.1592101436157941,-0.42204251264409404,-1.7104901116828244,0.08717528041650473,-0.6195086828145017,-1.6918585228766747,0.09067295196612486
period2,size_inv,2,3,24,-0.00466754705824594,-0.6350723128167417,0.5253812536542779,0.9605434888276694,0.9522368548966524,1.000540478039626,17.737617464794592,2.1485373114423702e-70,0.04840543269224856,0.35398218921071156,0.7233522311243683,0.07469429059186805,0.48339399905503283,0.6288160082826537,-0.17957182473176891,-1.016667553273836,0.30931160611912034
period2,size_inv,2,4,24,-0.005697998660519878,-1.1742018187086884,0.2403141977433444,0.9658066711965134,0.9586080756589372,0.9599349175465958,20.41278119789811,1.2874611389731517e-92,0.031932206455665135,0.3762304800433743,0.7067455574409058,0.15737535750567766,1.1798906927820505,0.23804369206281673,0.27137359279907025,1.8734750663359612,0.061002812670043066
period2,size_inv,2,5,24,-0.012456107824838157,-3.0576905181061176,0.002230498039575626,0.946792128226096,0.9355904710105373,0.9830623102647882,18.966647038740952,3.217881899745173e-80,0.4020264816059439,2.1965378399454334,0.028053469829438703,-0.20511379293623178,-1.5529691171519797,0.12043051280529338,-0.30256752156153405,-1.760488543696027,0.07832500826610339
period2,size_inv,3,1,24,3.486136533743106e-06,0.0003927882434012313,0.999686600332984,0.9107167785380865,0.8919203108618943,1.0843384953397095,9.659699493834287,4.471737449484662e-22,0.19600903277131276,0.6254407684328717,0.5316818119577238,-0.1422421196933361,-0.4520194963953535,0.6512549372246923,-0.17917588117922179,-0.4760355090885651,0.6340490805219817
period2,size_inv,3,2,24,0.0005019306607354779,0.09010170807798314,0.9282063918927208,0.9530228912175077,0.9431329735790883,0.9189971042949736,15.889725951369453,7.465322446742923e-57,-0.006968883287680971,-0.08704151274205642,0.9306385149069376,-0.1219373865714688,-0.9843706887333655,0.3249332844793025,-0.5040948775864935,-1.9146615930150694,0.05553567463071126
period2,size_inv,3,3,24,-0.013000542384252068,-1.525686388551416,0.12708798594908627,0.9404485506747872,0.9279114034484266,0.9356952086539132,15.404836893830641,1.5187182926030495e-53,0.09355418243417454,0.803235628863812,0.4218385559328125,-0.33131305182955384,-1.2263493461813406,0.22006723905764958,-0.16813035652970032,-0.5074434011900965,0.6118437396336796
period2,size_inv,3,4,24,-0.004789382924455923,-0.7647670732974648,0.44441025790295907,0.9664930959778285,0.9594390109205293,1.1678257471002538,37.152950337873605,3.928591605460804e-302,0.399653731176847,7.134134084088157,9.73983514651799e-13,-0.06166331470988062,-0.4627641309500647,0.6435334443214474,-0.06547561364021537,-0.26711286344104873,0.7893822637279517
period2,size_inv,3,5,24,0.0012795894185203618,0.3567581661418401,0.7212728566443459,0.9200486703758316,0.9032168115075856,0.8754125500588763,8.118977512226726,4.701276109767214e-16,-0.27581487558648343,-3.592578726580171,0.00032742168846938024,-0.05440365823128046,-0.31002602820526426,0.7565411632165999,-0.29849419267193167,-1.6065842759883209,0.10814559409260067
period2,size_inv,4,1,24,0.018761855533767347,2.210793902057363,0.027050112312334906,0.9130515943517604,0.8947466668468679,1.156166144878564,15.024969669692878,5.038439807362817e-51,-0.13583343523454533,-0.3680819024394148,0.7128121648246661,0.13896858366139253,0.9042811569142553,0.36584633578873516,0.6405981781449284,1.9548401650943374,0.050601938769775916
period2,size_inv,4,2,24,-0.009076568655347395,-1.4465885921020416,0.14801218316760334,0.9572765453402081,0.9482821338328835,0.91261789529272,17.613463341063643,1.941912393591085e-69,-0.48857216107226464,-3.018929674378614,0.002536694079048785,-0.3598358548941392,-2.258884258002049,0.023890585462374794,-0.8509507018518454,-4.574729468510327,4.768357291551163e-06
period2,size_inv,4,3,24,0.020709238940559024,1.1890693392001774,0.23441238246999618,0.8220597381618538,0.7845986304064547,0.9479569382536142,9.200270790870494,3.5704883304529034e-20,-0.2677135658758296,-1.3490103554034152,0.17733363996043416,0.19401509227565994,0.5232228041470756,0.6008192138908237,0.521240526892087,1.4795545867546862,0.13899215355437083
period2,size_inv,4,4,24,0.001387670770893584,0.22427065638912547,0.8225467074876576,0.9437668463691621,0.9319282877100383,0.8705294136309224,16.547017363529722,1.6823340603912974e-61,-0.5320330177096723,-3.340182288385096,0.0008372341566786947,-0.2729200003747124,-1.9256522677646,0.05414780765900036,-0.06363387649965002,-0.4013378232337047,0.6881714199738724
period2,size_inv,4,5,24,-0.0058539354290833455,-0.5758559199041626,0.5647125723692255,0.9244739723962008,0.9085737560585588,0.9670818379863861,8.842327094775754,9.374530362234578e-19,-0.44336498393385587,-1.3740072798364278,0.1694394224006016,-0.019504612838392332,-0.0614046458886146,0.9510369524599368,0.16348509385575524,0.38182622598827526,0.7025902644533509
period2,size_inv,5,1,24,-0.03962960531741007,-1.3893468745043862,0.1647272965280413,0.8746990125812238,0.8483198573351657,0.9237612661390457,7.95367033846526,1.8106553673162374e-15,-0.3019805130804419,-1.0950722047073498,0.2734850047161609,-1.6994756405669162,-2.2150124596562013,0.026759209323343986,-0.8697000889022088,-1.0196482584525846,0.30789530899033424
period2,size_inv,5,2,24,-0.004937856145673257,-0.8193715409670177,0.41257446682643883,0.872384088520143,0.8455175808401731,0.5563340864174903,7.080844828666352,1.4327826626941522e-12,-0.9313816321454278,-3.44554557887175,0.0005699078474280465,-0.4032259311322981,-2.317763650747079,0.020462169610998,-0.48555352349360714,-1.5686516998359472,0.11672911878209435
period2,size_inv,5,3,24,-0.007126332830383997,-0.9517000507880854,0.3412491236196572,0.9279847095753712,0.9128235958017651,0.843740013699742,7.48924223569243,6.927238651190747e-14,-0.4626070520955168,-1.8908313054721455,0.05864686678240043,-0.45926232510407516,-2.242870918275376,0.02490513960088059,0.23350247278116254,0.6744473931265623,0.5000269205533039
period2,size_inv,5,4,24,0.027038556519539583,1.4806090593434051,0.13871077987490715,0.6976526028987118,0.6340005192984406,1.1622623410143473,3.694094205333516,0.00022067198683824987,-0.2672243690941543,-0.55262284117947,0.5805216980497074,0.3304225354352879,0.9237211878495709,0.3556314977372287,1.3891764275730416,1.8234584857675122,0.06823397918926197
period2,size_inv,5,5,24,0.004862198316840292,0.7824620910182466,0.4339430557575974,0.9397441637717023,0.9270587245657449,0.8718073851239896,8.487043843400118,2.119598161452603e-17,-0.309036422524403,-2.505221729185901,0.012237465053030281,-0.15279128005584747,-0.6270336824493459,0.5306371565209682,0.2543684684018017,1.158077383556611,0.24683245855700386
period2,size_op,1,1,3,,,,,,,,,,,,,,,,,
period2,size_op,1,2,0,,,,,,,,,,,,,,,,,
period2,size_op,1,3,2,,,,,,,,,,,,,,,,,
period2,size_op,1,4,3,,,,,,,,,,,,,,,,,
period2,size_op,1,5,0,,,,,,,,,,,,,,,,,
period2,size_op,2,1,6,,,,,,,,,,,,,,,,,
